Word Id,Word,Pinyin,Pinyin Simplified,Type,Word Category,Word Rarity,Meaning,Sentence,Sentence Pinyin,Sentence Meaning,Added Date,Num_Quiz_Attempt,Num_Correct,Num_Wrong,Last_Quiz
D000001,帮助,bang1 zhu4,bang1 zhu4,Noun/Verb,Support,Common,Help/Assistance,我可以帮助你学习中文,Wǒ kěyǐ bāngzhù nǐ xuéxí Zhōngwén.,I can help you study Chinese.,2024-09-21,0,0,0,
D000002,包裹,bao1 guo3,bao1 guo3,Noun,Object,Common,Package,他昨天收到了一个包裹。,Wǒ zuótiān shōudào le bāoguǒ.,I received the package yesterday.,2024-09-21,0,0,0,
D000004,不错,bu2 cuo4,bu2 cuo4,Adjective,Opinion,Common,Good (More positive than 还好),这个电影不错，我们可以一起去看。,Zhè gè diànyǐng bùcuò wǒmen kěyǐ yìqǐ qù kàn,This movie is pretty good; we can go watch it together.,2024-09-21,1,1,0,2024-12-26
D000005,不过,bu2 guo4,bu2 guo4,Grammar,Grammar,Common,But (Similar to dan4 shi4 but less formal),我喜欢这家餐厅，不过价格有点贵。,Wǒ xǐhuān zhè jiā cāntīng búguò jiàgé yǒudiǎn guì.,I like this restaurant but the price is a bit high.,2024-09-21,0,0,0,
D000006,不太,bu2 tai4,bu2 tai4,Adjuster,Degree,Common,not quite,不太好,bu2 tai4 hao3,not quite good,2024-09-21,1,1,0,2025-01-05
D000007,不仅,bu4 jin3,bu4 jin3,Grammar,Grammar,Common,Not only ....,他不仅喜欢音乐，还喜欢运动,Tā bùjǐn xǐhuān yīnyuè hái xǐhuān yùndòng.,He not only likes music but also likes sports.,2024-09-21,1,1,0,2025-01-29
D000008,不满,bu4 man3,bu4 man3,Adjective,Opinion,Common,Dissatisfied,他对工作的结果很不满。,Tā duì gōngzuò de jiéguǒ hěn bùmǎn.,He is very dissatisfied with the outcome of the work.,2024-09-21,0,0,0,
D000009,出发,chu1 fa1,chu1 fa1,Verb,Travel,Common,Leave,我们明天早上六点出发去机场。,Wǒmen míngtiān zǎoshang liù diǎn chūfā qù jīchǎng.,We will leave for the airport at 6 a.m. tomorrow.,2024-09-21,1,1,0,2024-12-29
D000010,村庄,cun1 zhuang1,cun1 zhuang1,Noun,Place,Common,Village,在一个小村庄里,Zài yīgè xiǎo cūnzhuāng lǐ,In a small village,2024-09-21,2,1,1,2025-01-29
D000011,打算,da3 suan4,da3 suan4,Verb,Action,Common,Plan to + (Obj) --> Need object,我打算明年去中国旅游,Wǒ dǎsuàn míngnián qù Zhōngguó lǚyóu,I plan to travel to China next year.,2024-09-21,0,0,0,
D000012,大概,da4 gai4,da4 gai4,Adjective,General,Common,Approximately,他大概已经出发了,Tā dàgài yǐjīng chūfā le.,He probably already left,2024-09-21,0,0,0,
D000013,但是,dan4 shi4,dan4 shi4,Grammar,Grammar,Common,But,我想去旅游，但是没有时间。,Wǒ xiǎng qù lǚyóu dànshì méiyǒu shíjiān.,I want to travel but I don't have time.,2024-09-21,1,1,0,2025-06-21
D000014,当,dāng,dang1,Verb,Action,Common,To be; to serve as,他想当一名老师。,Tā xiǎng dāng yī míng lǎoshī.,He wants to be a teacher.,2024-09-21,0,0,0,
