Word,Pinyin,Type,Meaning,Sentence,Sentence Pinyin,Sentence Meaning,Word Type
大概,da4 gai4,Adjective,Approximately,他大概已经出发了,Tā dàgài yǐjīng chūfā le.,He probably already left,
被,bei4,Particle,Particle word to turn into passive voice. (.ie bei4 chi1 le = was eaten),甜甜圈被吃掉了,tian2 tian2 quan1 bei4 chi1 diao4 le,The donut was eaten,
往前,wang3 qian2,Adjective,Go forward,往前走,wang3 qian2 zou3,,
觉得,jue2 de,Verb,Think,你觉得她怎么样,ni3 jue2 de ta1 zen3 me yang,What do you think about her,
已经,yi3 jing1,Adverb,Already,我已经吃过晚饭了,Wǒ yǐjīng chī guò wǎnfàn le.,I have already had dinner,
友好,you2 hao3,Adjective,Friendly,他们很友好,ta1 men2 hen3 you2 hao3,They are very friendly,
计划,ji4 hua4,Noun,Plan,我们的暑假计划是去海边度假,Wǒmen de shǔjià jìhuà shì qù hǎibiān dùjià.,Our plan for the summer vacation is to go to the beach.,
出发,chu1 fa1,Verb,Leave,我们明天早上六点出发去机场。,Wǒmen míngtiān zǎoshang liù diǎn chūfā qù jīchǎng.,We will leave for the airport at 6 a.m. tomorrow.,
机场,ji1 chang3,Noun,Airport,我们明天早上六点出发去机场。,Wǒmen míngtiān zǎoshang liù diǎn chūfā qù jīchǎng.,We will leave for the airport at 6 a.m. tomorrow.,
聊天,liao2 tian1,Verb,To chat/To have conversation (Casual),他们每天晚上都在网上聊天,Tāmen měi tiān wǎnshang dōu zài wǎngshàng liáotiān.,They chat online every evening.,
网上,wang3 shang4,Noun,Internet,他们每天晚上都在网上聊天,Tāmen měi tiān wǎnshang dōu zài wǎngshàng liáotiān.,They chat online every evening.,
温和,wen1 he2,Adjective,Gentle,她很少生气，总是很温和,Tā hěn shǎo shēngqì zǒng shì hěn wēnhé.,She seldom gets angry and is always gentle.,
锻炼,duan4 lian4,Verb,Exercise,他经常锻炼身体，所以很健康,Tā jīngcháng duànliàn shēntǐ suǒyǐ hěn jiànkāng,He exercises often so he is very healthy,
钥匙,yao4 shi2,Noun,Key,他总是忘记带钥匙,Tā zǒngshì wàngjì dài yàoshi.,He always forgets to bring his keys.,
最近,zui4 jin4,Adjective,Recently,最近的天气很差，总是下雨,Zuìjìn de tiānqì hěn chà zǒngshì xiàyǔ.,The weather has been very bad lately it's always raining,
刚,gang1,Adverb,Indicates that something has just happened very recently but it also implies that the event was barely in time or has just passed,我们的项目刚开始,Wǒmen de xiàngmù gāng kāishǐ,Our project has just started.,
刚刚,gang1 gang1,Adverb,"""just now"" but it emphasizes that the event occurred very recently",他刚刚走了。,Tā gānggāng zǒu le.,He just left (A moment ago),
项目,xiang4 mu4,Noun,Project,我们的项目刚开始,Wǒmen de xiàngmù gāng kāishǐ,Our project has just started.,
要,yao4,Adverb,Used as adverb to mean the speaker is going to the verb (Different from the primary meaning where yao4 = want),我要走了,wo3 yao4 zou3 le,I'm going to leave now,
村庄,cun1 zhuang1,Noun,Village,在一个小村庄里,Zài yīgè xiǎo cūnzhuāng lǐ,In a small village,
农场,nong2 chang3,Noun,Farm,我暑假打算去爷爷的农场帮忙,Wǒ shǔjià dǎsuàn qù yéye de nóngchǎng bāngmáng.,I plan to go to my grandfather's farm to help during the summer vacation.,
打算,da3 suan4,Verb,Plan to + (Obj) --> Need object,我打算明年去中国旅游,Wǒ dǎsuàn míngnián qù Zhōngguó lǚyóu,I plan to travel to China next year.,
暖和,nuan3 huo,Adjective,Warm (Referring to weather),春天的阳光很暖和,Chūntiān de yángguāng hěn nuǎnhuo,The spring sunshine is very warm.,
温暖,wen1 nuan3,Adjective,Warm (Referring to personality),她有一个温暖的性格，总是关心别人,Tā yǒu yī gè wēnnuǎn de xìnggé zǒng shì guānxīn biérén.,She has a warm personality and always cares about others.,
找,zhao3,Noun,To find,我在找我的手机,Wǒ zài zhǎo wǒ de shǒujī.,I am looking for my phone.,
找到,zhao3 dao4,Verb,To have found,,Wǒ zhōngyú zhǎodào wǒ de yàoshi le.,I finally found my keys.,
终于,zhong1 yu2,Adverb,Finally,我们等了很久，飞机终于来了。,Wǒmen děng le hěn jiǔ fēijī zhōngyú lái le.,We waited for a long time and finally the plane arrived.,
方法,fang1 fa3,Noun,Method/Way,我们需要找到一个新的方法解决这个问题。,Wǒmen xūyào zhǎodào yī gè xīn de fāngfǎ jiějué zhège wèntí.,We need to find a new method to solve this problem,
解决,jie3 jue2,Verb,To solve/To resolve/To settle,她很快就解决了那个难题。,Tā hěn kuài jiù jiějué le nàgè nántí.,She quickly solved that difficult problem.,
需要,xu1 yao4,Verb,Need (As opposed to 要 which is just want),你需要帮助吗？,Nǐ xūyào bāngzhù ma?,Do you need help?,
应该,ying1 gai1,Adverb,Should,你应该早点休息,Nǐ yīnggāi zǎodiǎn xiūxi.,You should rest earlier.,
随时,sui2 shi2,Adverb,Any Time,如果你需要帮助，可以随时找我。,Rúguǒ nǐ xūyào bāngzhù kěyǐ suíshí zhǎo wǒ.,If you need help you can come to me anytime.,
帮助,bang1 zhu4,Noun/Verb,Help/Assistance,我可以帮助你学习中文,Wǒ kěyǐ bāngzhù nǐ xuéxí Zhōngwén.,I can help you study Chinese.,
会议,hui4 yi4,Noun,Meeting,他会来参加会议。,Tā huì lái cānjiā huìyì.,He will come to attend the meeting.,
消息,xiao1 xi1,Noun,News,我刚刚收到一个好消息。,Wǒ gānggāng shōudào yī gè hǎo xiāoxī.,I just received good news.,
惊讶,jing1 ya4,Adjective,Surprised/Astonished,我对他的决定感到很惊讶。,Wǒ duì tā de juédìng gǎndào hěn jīngyà.,I am very surprised by his decision.,
收到,shou1 dao4,Verb,To receive,我收到了你的邮件。,Wǒ shōudào le nǐ de yóujiàn.,I received your email.,
邮件,you2 jian4,Noun,Email,我收到了你的邮件。,Wǒ shōudào le nǐ de yóujiàn.,I received your email.,
包裹,bao1 guo3,Noun,Package,他昨天收到了一个包裹。,Wǒ zuótiān shōudào le bāoguǒ.,I received the package yesterday.,
肯定,ken3 ding4,Noun,Sure/Certain,你肯定能完成这个任务,Nǐ kěndìng néng wánchéng zhège rènwù,You will definitely be able to complete this task.,
完成,wan2 cheng2,Verb,To finish To complete,我已经完成了作业,Wǒ yǐjīng wánchéng le zuòyè.,I have already finished my homework,
任务,ren4 wu4,Noun,Task Mission Assignment,这次任务非常重要,Zhè cì rènwù fēicháng zhòngyào.,This mission is very important.,
价格,jia4 ge2,Noun,Price,你能告诉我这台电脑的价格吗？,Nǐ néng gàosù wǒ zhè tái diànnǎo de jiàgé ma?,Can you tell me the price of this computer?,
否定,fou3 ding4,Verb,To Negate To Deny To Reject,他否定了所有的指控,Tā fǒudìng le suǒyǒu de zhǐkòng.,He denied all the accusations.,
所有,suo3 you3,Adjective,All/Every,所有的学生都参加了这个活动。,Suǒyǒu de xuéshēng dōu cānjiā le zhège huódòng.,All the students participated in this activity.,
相信,xiang1 xin4,Verb,To believe/To trust,他相信世界会变得更好。,Tā xiāngxìn shìjiè huì biàn dé gèng hǎo.,He believes that the world will become better.,
不满,bu4 man3,Adjective,Dissatisfied,他对工作的结果很不满。,Tā duì gōngzuò de jiéguǒ hěn bùmǎn.,He is very dissatisfied with the outcome of the work.,
勇气,yǒngqì,Noun,Courage,他终于鼓起勇气向她表白了。,Tā zhōngyú gǔqǐ yǒngqì xiàng tā biǎobái le.,He finally summoned the courage to confess to her.,
挺,ting3,Adjuster,quite,挺好,ting3 hao3,quite good,
不太,bu2 tai4,Adjuster,not quite,不太好,bu2 tai4 hao3,not quite good,
非常,fei1 chang2,Adjuster,very (Stronger than hen3),非常喜欢,fei1 chang2 xi3 huan1,really like,
很,hen3,Adjuster,very,很好,hen3 hao3,very good,
特别,te4 bie2,Adjuster,especially,这道菜特别好吃，我非常喜欢。,Zhè dào cài tèbié hǎochī wǒ fēicháng xǐhuān,This dish is especially delicious; I really like it.,
经常,jing1 chang2,Adjuster,Often,他经常锻炼身体，所以很健康,Tā jīngcháng duànliàn shēntǐ suǒyǐ hěn jiànkāng,He exercises often so he is very healthy,
很少,hen3 shao3,Adjuster,Rarely/Seldom,她很少生气，总是很温和,Tā hěn shǎo shēngqì zǒng shì hěn wēnhé.,She seldom gets angry and is always gentle.,
总是,zong3 shi4,Adjuster,Always,他总是忘记带钥匙,Tā zǒngshì wàngjì dài yàoshi.,He always forgets to bring his keys.,
更,geng4,Adjuster,More/Even More (Emphasize Improvement Compared to bi3 jiao4),这家餐厅的菜比那家更好,Zhè jiā cāntīng de cài bǐ nà jiā gèng hǎo,The dishes at this restaurant are better than those at that restaurant.,
比较,bi3 jiao4,Adjuster,Comparatively/More (More about comparing the two level compared to geng4),这家餐厅的菜比较好,Zhè jiā cāntīng de cài bǐjiào hǎo.,The dishes at this restaurant are relatively better.,
还可以,hai2 ke3 yi3,Adjective,Just okay,我的英语说得还可以,Wo3 de ying1 yu3 shuo1 de hai2 ke3 yi3,I speak okay English,
还好,hai2 hao3,Adjective,Not bad,这家餐厅的菜还好，不是特别好吃，但也不差。,Zhè jiā cāntīng de cài hái hǎo bú shì tèbié hǎochī dàn yě bù chà.,The food at this restaurant is not bad; it's not particularly delicious but it's also not bad.,
不错,bu2 cuo4,Adjective,Good (More positive than 还好),这个电影不错，我们可以一起去看。,Zhè gè diànyǐng bùcuò wǒmen kěyǐ yìqǐ qù kàn,This movie is pretty good; we can go watch it together.,
很差,hen3 cha4,Adjective,Sucks/Very bad,最近的天气很差，总是下雨,Zuìjìn de tiānqì hěn chà zǒngshì xiàyǔ.,The weather has been very bad lately it's always raining,
哪里,na3 li3,Grammar,Where,xxx 在哪里,xxx zai4 na3 li3,Where is xxx?,
哪里,na4 li3,Grammar,There,哪里的天气怎么样,na4 li3 de tian1 qi4 zen3 me tang4,How is the weather there?,
那些,na3 xie1,Grammar,Which (For multiple choices) --> i.e na3 ge plural form,你去了那些地方,ni3 qu4 le na3 xie1 di4 fang1,Which places did you go to?,
